ts	cluster_label	model_version	f_temp_out	f_out_hum	f_bar	f_wind_speed	f_rain_rate	f_solar_rad	f_uv_index
2024-11-15 20:00:00+00:00	2	pca3_kmeans_v1	10.1	86.0	1019.5	0.0	0.0	0.0	0.0
2024-11-15 20:30:00+00:00	2	pca3_kmeans_v1	10.1	87.0	1019.4	0.0	0.0	0.0	0.0
2024-11-15 21:00:00+00:00	2	pca3_kmeans_v1	10.1	88.0	1019.1	0.0	0.0	0.0	0.0
2024-11-15 21:30:00+00:00	2	pca3_kmeans_v1	10.2	88.0	1018.8	0.0	0.0	0.0	0.0
2024-11-15 22:00:00+00:00	2	pca3_kmeans_v1	10.3	87.0	1018.6	0.0	0.0	0.0	0.0
2024-11-15 22:30:00+00:00	2	pca3_kmeans_v1	10.3	88.0	1018.3	0.0	0.0	0.0	0.0
2024-11-15 23:00:00+00:00	2	pca3_kmeans_v1	10.5	87.0	1018.0	0.0	0.0	0.0	0.0
2024-11-15 23:30:00+00:00	2	pca3_kmeans_v1	10.6	88.0	1017.8	0.0	0.0	0.0	0.0
2024-11-16 00:00:00+00:00	2	pca3_kmeans_v1	10.3	88.0	1017.4	0.0	0.0	0.0	0.0
2024-11-16 00:30:00+00:00	2	pca3_kmeans_v1	10.4	88.0	1017.4	0.0	0.0	0.0	0.0
2024-11-16 01:00:00+00:00	2	pca3_kmeans_v1	10.8	88.0	1017.1	0.0	0.0	0.0	0.0
2024-11-16 01:30:00+00:00	2	pca3_kmeans_v1	10.6	88.0	1016.7	0.0	0.0	0.0	0.0
2024-11-16 02:00:00+00:00	2	pca3_kmeans_v1	10.9	87.0	1016.7	0.0	0.0	0.0	0.0
2024-11-16 02:30:00+00:00	2	pca3_kmeans_v1	10.9	87.0	1016.4	0.0	0.0	0.0	0.0
2024-11-16 03:00:00+00:00	2	pca3_kmeans_v1	10.9	87.0	1015.9	0.0	0.0	0.0	0.0
2024-11-16 03:30:00+00:00	2	pca3_kmeans_v1	10.8	85.0	1015.6	0.0	0.0	0.0	0.0
2024-11-16 04:00:00+00:00	2	pca3_kmeans_v1	10.8	86.0	1015.3	0.0	0.0	0.0	0.0
2024-11-16 04:30:00+00:00	2	pca3_kmeans_v1	10.8	86.0	1015.2	0.0	0.0	0.0	0.0
2024-11-16 05:00:00+00:00	2	pca3_kmeans_v1	10.9	87.0	1015.3	0.0	0.0	0.0	0.0
